ID Empresa;Empresa;Año;Periodo;Departamento;Municipio;NUECA;Entrega ECA/Recoge rechazoECA;Sitio origen o destino residuo;#sitio origen/destino residuo;Dpto origen residuo;Municipio origen residuos;Tonelada entregadas recogidas;Fecha de cargue
2044;INTERASEO S.A.S.  E.S.P.;2020;1;SUCRE;SINCELEJO;998770001-ECA INTERASEO SUCRE;Entrega a la ECA;Área de prestación del servicio;649270742;SUCRE;SAN LUIS DE SINCE;0,6544;16/04/20
2044;INTERASEO S.A.S.  E.S.P.;2020;1;SUCRE;SINCELEJO;998770001-ECA INTERASEO SUCRE;Entrega a la ECA;Área de prestación del servicio;649370708;SUCRE;SAN MARCOS;0,2945;16/04/20
2044;INTERASEO S.A.S.  E.S.P.;2020;1;MAGDALENA;SANTA MARTA;998947001-ECA INTERASEO MAGDALENA;Entrega a la ECA;Área de prestación del servicio;883447001;MAGDALENA;SANTA MARTA;15,004;01/03/20
2044;INTERASEO S.A.S.  E.S.P.;2020;1;SUCRE;SINCELEJO;998770001-ECA INTERASEO SUCRE;Entrega a la ECA;Área de prestación del servicio;649470001;SUCRE;SINCELEJO;10,4264;16/04/20
2044;INTERASEO S.A.S.  E.S.P.;2020;2;ANTIOQUIA;BELLO;998405088-ECA NORTE INTERASEO;Recoge el rechazo de la ECA;Sitio de disposición final;720105237;ANTIOQUIA;BELLO;0,803;19/06/20
2044;INTERASEO S.A.S.  E.S.P.;2020;3;ANTIOQUIA;BELLO;998405088-ECA NORTE INTERASEO;Recoge el rechazo de la ECA;Sitio de disposición final;720105237;ANTIOQUIA;BELLO;0,886;19/06/20
2044;INTERASEO S.A.S.  E.S.P.;2020;4;ANTIOQUIA;BELLO;998405088-ECA NORTE INTERASEO;Recoge el rechazo de la ECA;Sitio de disposición final;720105237;ANTIOQUIA;BELLO;0,968;19/06/20
2044;INTERASEO S.A.S.  E.S.P.;2020;1;ANTIOQUIA;BELLO;998405088-ECA NORTE INTERASEO;Recoge el rechazo de la ECA;Sitio de disposición final;720105237;ANTIOQUIA;BELLO;1,87;19/06/20
2044;INTERASEO S.A.S.  E.S.P.;2020;2;ANTIOQUIA;LA ESTRELLA;998805380-ECA SUR INTERASEO;Recoge el rechazo de la ECA;Sitio de disposición final;720105237;ANTIOQUIA;CALDAS;0,044;21/06/20
2044;INTERASEO S.A.S.  E.S.P.;2020;1;ANTIOQUIA;LA ESTRELLA;998805380-ECA SUR INTERASEO;Recoge el rechazo de la ECA;Sitio de disposición final;720105237;ANTIOQUIA;CALDAS;0,048;21/06/20
2044;INTERASEO S.A.S.  E.S.P.;2020;3;ANTIOQUIA;BELLO;998405088-ECA NORTE INTERASEO;Recoge el rechazo de la ECA;Sitio de disposición final;720105237;ANTIOQUIA;COPACABANA;1,18;19/06/20
